,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,1-Jul-13,1-Oct-13,1-Jan-14,1-Apr-14,1-Jul-14,1-Oct-14,1-Jan-15,1-Apr-15,1-Jul-15
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
A C C Ltd.,1220.05,1099.4,1108.45,1389.1,1480.6,1391.65,1403.55,1585.9,1465.75
Adani Enterprises Ltd.,216.15,141.35,268.75,352.7,458.6,464,490,612.4,91.65
Adani Ports & Special Economic Zone Ltd.,151.55,138.7,156.3,186.3,244.2,275.15,319.55,310.95,311.3
Adani Power Ltd.,42.6,31.9,39.45,47.95,63.55,43.15,44.2,47.75,29.9
Aditya Birla Nuvo Ltd.,1095,1248,1238,1090.8,1398.65,1647.7,1688.45,1666.7,1821.15
Allahabad Bank,94.65,78.4,96.45,89.7,141.3,97.4,134.35,101.4,88.8
Ambuja Cements Ltd.,189.05,180,183.65,203.15,223.75,210.65,227.75,260.25,238.15
Andhra Bank,84.45,52.3,64,62.9,100.85,64.55,96.45,80.55,69.95
Apollo Hospitals Enterprise Ltd.,1005.75,916.55,969.3,905.45,989.25,1115.6,1125.9,1390,1330.7
Apollo Tyres Ltd.,60.4,65.45,104.8,162.3,203.3,196.75,223.6,175.2,172.9
Arvind Ltd.,79.45,80.05,138.85,178.9,235,295.15,281.5,267.2,267.65
Ashok Leyland Ltd.,20.65,15,17.2,22.6,36.75,42.15,52,74.05,74.1
Asian Paints Ltd.,471.25,454.35,499.75,536.65,583.85,631.7,749.15,821.7,760.8
Aurobindo Pharma Ltd.,93.45,104.5,195.85,267.15,366.1,483.13,563.55,623.7,732.2
Axis Bank Ltd.,269.76,208.82,258.44,293.7,384.01,379.95,503.05,569.65,578.65
Bajaj Auto Ltd.,1922.9,2020,1917.4,2065.2,2334.7,2336.1,2452.15,2019.8,2526.25
Bank Of Baroda,118.18,99.68,131.47,147.37,175.65,179.72,216.61,168.9,150.3
Bank Of India,242.05,166.3,243.15,223.9,304.5,232.6,304.35,205.75,179.55
Bata India Ltd.,419.6,428.85,533.83,565.1,640.1,696.1,648.92,547.35,532.88
Bharat Forge Ltd.,224.2,256.5,328.65,417.35,652.8,811,937.95,1322.6,1108.5
Bharat Heavy Electricals Ltd.,179.25,141.15,175.4,194.5,252.45,199.45,268.55,230.7,257.7
Bharat Petroleum Corpn. Ltd.,374.35,326.35,349.2,446.9,589.6,652.85,654.2,804.2,887.95
Bharti Airtel Ltd.,296.15,322.6,337.75,315.35,335.5,403.2,362.9,402.3,424.45
Biocon Ltd.,284.5,333.7,469.2,430.95,523.95,498.95,425.05,466.05,463.9
C E S C Ltd.,340.6,340.6,464.6,504,685.85,749.65,663.2,609.75,562.55
Cairn India Ltd.,293.6,317.75,323.6,344.95,363.25,303.75,238.95,213.35,184.3
Canara Bank,384.55,226.85,285.2,261.1,461.4,354.15,449.25,381,287.35
Century Textiles & Inds. Ltd.,269.3,245.45,314.2,365.05,610,532.25,524.4,675.35,711.4
Cipla Ltd.,397.75,431.9,401.75,381.5,437.25,624.3,628.4,709.6,634.9
Coal India Ltd.,305,297.5,292.2,290.5,384.45,344.6,380.05,363,425.5
Colgate-Palmolive (India) Ltd.,674.67,630.23,680.45,675.8,765.23,867.65,902.92,1001.25,1027.6
Crompton Greaves Ltd.,89.9,87.4,129.5,157.35,203.3,200.05,186.55,166.1,162.8
D L F Ltd.,189.1,136.9,170.1,175,216.55,150.4,137.4,159.7,117.4
Dabur India Ltd.,155.3,168.05,172,188.35,187,221.1,232.4,266.55,282.5
Dish T V India Ltd.,61.95,52,60.8,52.7,63.05,54.35,67.7,84.15,106
Divi'S Laboratories Ltd.,494.75,496.43,613.52,674.4,735.45,893.88,872.73,901.17,932.92
Dr. Reddy'S Laboratories Ltd.,2263.8,2407.65,2537.45,2601,2614.95,3200.4,3210.5,3533.65,3573.6
Exide Industries Ltd.,122.85,134.8,123.8,122.3,149.7,172.15,188.4,178.15,151.4
Federal Bank Ltd.,41.76,28.56,43.15,46.9,65.65,61.85,75.05,66.6,75.03
G A I L (India) Ltd.,324.9,324.8,343.45,374.95,460.8,438.9,442.6,384.8,390.15
G M R Infrastructure Ltd.,18.05,21.93,24.38,22.12,33.85,17.46,17.66,16.85,14.7
Glenmark Pharmaceuticals Ltd.,570.15,537.25,530.2,579.1,571,703.2,775.5,788.3,1018.1
Godrej Industries Ltd.,312.7,263.49,278.88,314.45,362.26,299.56,291.92,359.2,362.2
